,Nome,URL,Lancamento,Av. Usuario,Av. Critica
0,Warhammer Age of Sigmar: Tempestfall,/game/pc/warhammer-age-of-sigmar-tempestfall,"November 17, 2021",tbd,tbd
1,Motor Mechanic,/game/pc/motor-mechanic,"November 17, 2021",tbd,tbd
2,That Flipping Mountain,/game/pc/that-flipping-mountain,"November 17, 2021",tbd,tbd
3,Arcadia Fallen,/game/pc/arcadia-fallen,"November 17, 2021",tbd,tbd
4,BALROG,/game/pc/balrog,"November 17, 2021",tbd,tbd
5,Pangea,/game/pc/pangea,"November 17, 2021",tbd,tbd
6,Blub Emporium,/game/pc/blub-emporium,"November 17, 2021",tbd,tbd
7,Wandering Trails: A Hiking Game,/game/pc/wandering-trails-a-hiking-game,"November 17, 2021",tbd,tbd
8,Next Space Rebels,/game/pc/next-space-rebels,"November 17, 2021",tbd,tbd
9,Legend of Labot: The Golden Pearl,/game/pc/legend-of-labot-the-golden-pearl,"November 17, 2021",tbd,tbd
10,Echo - An Indie Tale,/game/pc/echo---an-indie-tale,"November 17, 2021",tbd,tbd
11,The Jewel of Monostructure,/game/pc/the-jewel-of-monostructure,"November 17, 2021",tbd,tbd
12,Pornocrates: Osiris's Seed,/game/pc/pornocrates-osiriss-seed,"November 17, 2021",tbd,tbd
13,Darius Cozmic Collection: Arcade,/game/pc/darius-cozmic-collection-arcade,"November 17, 2021",tbd,tbd
14,Find The Murderer,/game/pc/find-the-murderer,"November 17, 2021",tbd,tbd
15,Hardwork Simulator,/game/pc/hardwork-simulator,"November 17, 2021",tbd,tbd
16,BOT.vinnik Chess: Mid-Century USSR Championships,/game/pc/botvinnik-chess-mid-century-ussr-championships,"November 17, 2021",tbd,tbd
17,Chronicles of Deeps,/game/pc/chronicles-of-deeps,"November 17, 2021",tbd,tbd
18,Kirkileons,/game/pc/kirkileons,"November 17, 2021",tbd,tbd
19,Slime Escape,/game/pc/slime-escape,"November 17, 2021",tbd,tbd
20,Roll The Cat,/game/pc/roll-the-cat,"November 17, 2021",tbd,tbd
21,The Five Covens,/game/pc/the-five-covens,"November 17, 2021",tbd,tbd
22,Cats War,/game/pc/cats-war,"November 17, 2021",tbd,tbd
23,World Tree,/game/pc/world-tree,"November 17, 2021",tbd,tbd
24,A Hot Springs Vacation with my Married Office Lady Superior,/game/pc/a-hot-springs-vacation-with-my-married-office-lady-superior,"November 17, 2021",tbd,tbd
25,Chao's Collection of Random Games,/game/pc/chaos-collection-of-random-games,"November 17, 2021",tbd,tbd
26,Maverta City,/game/pc/maverta-city,"November 17, 2021",tbd,tbd
27,Poly Puzzle: Cats,/game/pc/poly-puzzle-cats,"November 17, 2021",tbd,tbd
28,How To Bathe Your Cat: Drawing,/game/pc/how-to-bathe-your-cat-drawing,"November 17, 2021",tbd,tbd
29,Pumpkin Eater,/game/pc/pumpkin-eater,"November 17, 2021",tbd,tbd
30,Jolt Project,/game/pc/jolt-project,"November 17, 2021",tbd,tbd
31,Blox 3D World,/game/pc/blox-3d-world,"November 17, 2021",tbd,tbd
32,Being Left The **** Alone Simulator,/game/pc/being-left-the-alone-simulator,"November 17, 2021",tbd,tbd
33,Lawnmower Game: Pinball,/game/pc/lawnmower-game-pinball,"November 17, 2021",tbd,tbd
34,Purvis Beer VR,/game/pc/purvis-beer-vr,"November 17, 2021",tbd,tbd
35,Key,/game/pc/key,"November 17, 2021",tbd,tbd
36,Tep The Destroyer,/game/pc/tep-the-destroyer,"November 17, 2021",tbd,tbd
37,69 Moriko Love,/game/pc/69-moriko-love,"November 17, 2021",tbd,tbd
38,Underwater World,/game/pc/underwater-world,"November 17, 2021",tbd,tbd
39,Color Ball,/game/pc/color-ball,"November 17, 2021",tbd,tbd
40,Perfect Date,/game/pc/perfect-date,"November 17, 2021",tbd,tbd
41,Ruined King: A League of Legends Story,/game/pc/ruined-king-a-league-of-legends-story,"November 16, 2021",7.5,tbd
42,Hammerting,/game/pc/hammerting,"November 16, 2021",tbd,tbd
43,CountryBalls Heroes,/game/pc/countryballs-heroes,"November 16, 2021",tbd,tbd
44,Ollie-Oop,/game/pc/ollie-oop,"November 16, 2021",tbd,tbd
45,Unsouled,/game/pc/unsouled,"November 16, 2021",tbd,tbd
46,The Last Stand: Aftermath,/game/pc/the-last-stand-aftermath,"November 16, 2021",tbd,tbd
47,Sherlock Holmes: Chapter One,/game/pc/sherlock-holmes-chapter-one,"November 16, 2021",2.0,78
48,SimCasino,/game/pc/simcasino,"November 16, 2021",tbd,tbd
49,StarCrawlers Chimera,/game/pc/starcrawlers-chimera,"November 16, 2021",tbd,tbd
50,Tavern Master,/game/pc/tavern-master,"November 16, 2021",tbd,tbd
51,Combat Mission Cold War,/game/pc/combat-mission-cold-war,"November 16, 2021",tbd,tbd
52,Marsupilami: Hoobadventure,/game/pc/marsupilami-hoobadventure,"November 16, 2021",tbd,tbd
53,Nightwalker 2,/game/pc/nightwalker-2,"November 16, 2021",tbd,tbd
