,games
0,http://www.metacritic.com/game/pc/call-to-arms---gates-of-hell-ostfront
1,http://www.metacritic.com/game/pc/wave-break
2,http://www.metacritic.com/game/pc/countryballs-modern-ballfare
3,http://www.metacritic.com/game/pc/matsudai-kyoukaku
4,http://www.metacritic.com/game/pc/guilty-gear--strive-
5,http://www.metacritic.com/game/pc/scarlet-hollow
6,http://www.metacritic.com/game/pc/stand-em-up
7,http://www.metacritic.com/game/pc/shop-tycoon-prepare-your-wallet
8,http://www.metacritic.com/game/pc/parkalien
9,http://www.metacritic.com/game/pc/kinkoi-golden-loveriche
10,http://www.metacritic.com/game/pc/infinite-dungeon-crawler
11,http://www.metacritic.com/game/pc/jidewo
12,http://www.metacritic.com/game/pc/struggle-for-talyria
13,http://www.metacritic.com/game/pc/olobollo
14,http://www.metacritic.com/game/pc/antstream-arcade
15,http://www.metacritic.com/game/pc/wax-museum---seek-and-find
16,http://www.metacritic.com/game/pc/slimes-revenge
17,http://www.metacritic.com/game/pc/super-soccer-blast-america-vs-europe
18,http://www.metacritic.com/game/pc/chrome-switcher
19,http://www.metacritic.com/game/pc/horny-nurses
20,http://www.metacritic.com/game/pc/explor-a-new-world
21,http://www.metacritic.com/game/pc/doomers-adventure
22,http://www.metacritic.com/game/pc/lillys-rescue
23,http://www.metacritic.com/game/pc/dark-harvest
24,http://www.metacritic.com/game/pc/secrets-of-soil
25,http://www.metacritic.com/game/pc/life-in-planet
26,http://www.metacritic.com/game/pc/swift-elf
27,http://www.metacritic.com/game/pc/jgsw
28,http://www.metacritic.com/game/pc/neko-beach
29,http://www.metacritic.com/game/pc/magic-mysteries
30,http://www.metacritic.com/game/pc/the-past-of-zhijiang
31,http://www.metacritic.com/game/pc/cirnos-battle-of-faith
32,http://www.metacritic.com/game/pc/vr-another-world
33,http://www.metacritic.com/game/pc/dice-knight-mystery-of-the-moirai
34,http://www.metacritic.com/game/pc/untitled-marble-game
35,http://www.metacritic.com/game/pc/dance-with-me
36,http://www.metacritic.com/game/pc/valley-of-no-roads
37,http://www.metacritic.com/game/pc/mad-wild-fairy-tale
38,http://www.metacritic.com/game/pc/a-sketchbook-about-her-sun
39,http://www.metacritic.com/game/pc/dangerous-planet
40,http://www.metacritic.com/game/pc/mochi-jump
41,http://www.metacritic.com/game/pc/ballistic-machines
42,http://www.metacritic.com/game/pc/trap-adventure
43,http://www.metacritic.com/game/pc/race-project
44,http://www.metacritic.com/game/pc/the-chatters-show
45,http://www.metacritic.com/game/pc/mesobira-island
46,http://www.metacritic.com/game/pc/your-girlfriend
47,http://www.metacritic.com/game/pc/mirror-magic
48,http://www.metacritic.com/game/pc/space-puzzle
49,http://www.metacritic.com/game/pc/the-story-of-qingzhi-town
50,http://www.metacritic.com/game/pc/japanese-puzzle
51,http://www.metacritic.com/game/pc/hopheaders
52,http://www.metacritic.com/game/pc/space-warfare
53,http://www.metacritic.com/game/pc/chicory-a-colorful-tale
54,http://www.metacritic.com/game/pc/land-of-war---the-beginning
55,http://www.metacritic.com/game/pc/fareo-shadowlands
56,http://www.metacritic.com/game/pc/drift21
57,http://www.metacritic.com/game/pc/breathing-beneath
58,http://www.metacritic.com/game/pc/forgotten-hill-first-steps
59,http://www.metacritic.com/game/pc/a-rogue-escape
60,http://www.metacritic.com/game/pc/ninja-gaiden-master-collection
61,http://www.metacritic.com/game/pc/open-country
62,http://www.metacritic.com/game/pc/hot-pink
63,http://www.metacritic.com/game/pc/sento-michi-kokorozashi
64,http://www.metacritic.com/game/pc/we-are-football
65,http://www.metacritic.com/game/pc/the-adjudicator
66,http://www.metacritic.com/game/pc/life-of-fly-2
67,http://www.metacritic.com/game/pc/starscraper
68,http://www.metacritic.com/game/pc/warp-factory
69,http://www.metacritic.com/game/pc/eruption
70,http://www.metacritic.com/game/pc/herman-electro
71,http://www.metacritic.com/game/pc/z-arena
72,http://www.metacritic.com/game/pc/amid-the-lines
73,http://www.metacritic.com/game/pc/warlike
